; Filtershape based upon a single Lorentzian with FWHM=1.2A
;
;Wavelength [A]  Transmission
;--------------  ------------
      0.00000    0.0220296
    0.0402009    0.0224691
    0.0804019    0.0229217
     0.120603    0.0233881
     0.160804    0.0238687
     0.201005    0.0243642
     0.241206    0.0248751
     0.281407    0.0254022
     0.321608    0.0259460
     0.361809    0.0265072
     0.402010    0.0270868
     0.442211    0.0276854
     0.482412    0.0283038
     0.522613    0.0289430
     0.562814    0.0296038
     0.603015    0.0302873
     0.643216    0.0309945
     0.683417    0.0317265
     0.723618    0.0324844
     0.763819    0.0332695
     0.804020    0.0340831
     0.844221    0.0349265
     0.884422    0.0358012
     0.924623    0.0367087
     0.964824    0.0376508
      1.00503    0.0386290
      1.04523    0.0396454
      1.08543    0.0407019
      1.12563    0.0418005
      1.16583    0.0429435
      1.20603    0.0441333
      1.24623    0.0453724
      1.28643    0.0466636
      1.32663    0.0480098
      1.36683    0.0494140
      1.40704    0.0508796
      1.44724    0.0524102
      1.48744    0.0540095
      1.52764    0.0556817
      1.56784    0.0574312
      1.60804    0.0592626
      1.64824    0.0611811
      1.68844    0.0631922
      1.72864    0.0653017
      1.76884    0.0675160
      1.80905    0.0698419
      1.84925    0.0722869
      1.88945    0.0748591
      1.92965    0.0775670
      1.96985    0.0804202
      2.01005    0.0834288
      2.05025    0.0866039
      2.09045    0.0899577
      2.13065    0.0935032
      2.17085    0.0972547
      2.21106     0.101228
      2.25126     0.105440
      2.29146     0.109909
      2.33166     0.114656
      2.37186     0.119702
      2.41206     0.125073
      2.45226     0.130795
      2.49246     0.136897
      2.53266     0.143411
      2.57286     0.150374
      2.61307     0.157824
      2.65327     0.165803
      2.69347     0.174359
      2.73367     0.183543
      2.77387     0.193412
      2.81407     0.204030
      2.85427     0.215463
      2.89447     0.227788
      2.93467     0.241086
      2.97487     0.255446
      3.01508     0.270965
      3.05528     0.287747
      3.09548     0.305904
      3.13568     0.325553
      3.17588     0.346818
      3.21608     0.369823
      3.25628     0.394696
      3.29648     0.421556
      3.33668     0.450511
      3.37688     0.481648
      3.41709     0.515018
      3.45729     0.550623
      3.49749     0.588397
      3.53769     0.628175
      3.57789     0.669675
      3.61809     0.712465
      3.65829     0.755937
      3.69849     0.799287
      3.73869     0.841513
      3.77889     0.881426
      3.81910     0.917697
      3.85930     0.948937
      3.89950     0.973800
      3.93970     0.991111
      3.97990      1.00000
      4.02010      1.00000
      4.06030     0.991111
      4.10050     0.973800
      4.14070     0.948937
      4.18090     0.917698
      4.22111     0.881426
      4.26131     0.841513
      4.30151     0.799287
      4.34171     0.755937
      4.38191     0.712465
      4.42211     0.669675
      4.46231     0.628175
      4.50251     0.588397
      4.54271     0.550623
      4.58291     0.515018
      4.62312     0.481648
      4.66332     0.450511
      4.70352     0.421556
      4.74372     0.394696
      4.78392     0.369823
      4.82412     0.346818
      4.86432     0.325553
      4.90452     0.305904
      4.94472     0.287747
      4.98492     0.270965
      5.02513     0.255446
      5.06533     0.241086
      5.10553     0.227788
      5.14573     0.215463
      5.18593     0.204030
      5.22613     0.193412
      5.26633     0.183543
      5.30653     0.174359
      5.34673     0.165803
      5.38693     0.157824
      5.42714     0.150374
      5.46734     0.143411
      5.50754     0.136897
      5.54774     0.130795
      5.58794     0.125073
      5.62814     0.119702
      5.66834     0.114656
      5.70854     0.109909
      5.74874     0.105440
      5.78894     0.101228
      5.82915    0.0972547
      5.86935    0.0935032
      5.90955    0.0899577
      5.94975    0.0866040
      5.98995    0.0834288
      6.03015    0.0804202
      6.07035    0.0775670
      6.11055    0.0748591
      6.15075    0.0722869
      6.19095    0.0698419
      6.23116    0.0675160
      6.27136    0.0653017
      6.31156    0.0631922
      6.35176    0.0611811
      6.39196    0.0592626
      6.43216    0.0574312
      6.47236    0.0556817
      6.51256    0.0540095
      6.55276    0.0524102
      6.59296    0.0508796
      6.63317    0.0494140
      6.67337    0.0480098
      6.71357    0.0466636
      6.75377    0.0453724
      6.79397    0.0441333
      6.83417    0.0429435
      6.87437    0.0418005
      6.91457    0.0407019
      6.95477    0.0396454
      6.99498    0.0386290
      7.03518    0.0376508
      7.07538    0.0367087
      7.11558    0.0358012
      7.15578    0.0349265
      7.19598    0.0340831
      7.23618    0.0332695
      7.27638    0.0324844
      7.31658    0.0317265
      7.35678    0.0309945
      7.39699    0.0302873
      7.43719    0.0296038
      7.47739    0.0289430
      7.51759    0.0283038
      7.55779    0.0276854
      7.59799    0.0270868
      7.63819    0.0265073
      7.67839    0.0259460
      7.71859    0.0254022
      7.75879    0.0248751
      7.79900    0.0243642
      7.83920    0.0238687
      7.87940    0.0233881
      7.91960    0.0229217
      7.95980    0.0224691
      8.00000    0.0220296
