; Filtershape based upon a two Lorentzians with FWHM=1.0A
; shifted +0.2A and -0.2A respectively
;
;Wavelength [A]  Transmission
;--------------  ------------
      0.00000    0.0155214
    0.0402009    0.0158354
    0.0804019    0.0161590
     0.120603    0.0164927
     0.160804    0.0168367
     0.201005    0.0171916
     0.241206    0.0175577
     0.281407    0.0179357
     0.321608    0.0183259
     0.361809    0.0187290
     0.402010    0.0191454
     0.442211    0.0195759
     0.482412    0.0200210
     0.522613    0.0204813
     0.562814    0.0209577
     0.603015    0.0214508
     0.643216    0.0219614
     0.683417    0.0224904
     0.723618    0.0230386
     0.763819    0.0236070
     0.804020    0.0241967
     0.844221    0.0248085
     0.884422    0.0254438
     0.924623    0.0261036
     0.964824    0.0267893
      1.00503    0.0275022
      1.04523    0.0282437
      1.08543    0.0290155
      1.12563    0.0298191
      1.16583    0.0306563
      1.20603    0.0315291
      1.24623    0.0324394
      1.28643    0.0333894
      1.32663    0.0343814
      1.36683    0.0354179
      1.40704    0.0365016
      1.44724    0.0376354
      1.48744    0.0388223
      1.52764    0.0400658
      1.56784    0.0413694
      1.60804    0.0427370
      1.64824    0.0441728
      1.68844    0.0456814
      1.72864    0.0472677
      1.76884    0.0489370
      1.80905    0.0506953
      1.84925    0.0525487
      1.88945    0.0545042
      1.92965    0.0565694
      1.96985    0.0587523
      2.01005    0.0610620
      2.05025    0.0635082
      2.09045    0.0661017
      2.13065    0.0688544
      2.17085    0.0717791
      2.21106    0.0748902
      2.25126    0.0782033
      2.29146    0.0817358
      2.33166    0.0855070
      2.37186    0.0895381
      2.41206    0.0938526
      2.45226    0.0984768
      2.49246     0.103440
      2.53266     0.108773
      2.57286     0.114514
      2.61307     0.120703
      2.65327     0.127384
      2.69347     0.134607
      2.73367     0.142429
      2.77387     0.150912
      2.81407     0.160127
      2.85427     0.170152
      2.89447     0.181075
      2.93467     0.192992
      2.97487     0.206011
      3.01508     0.220252
      3.05528     0.235843
      3.09548     0.252925
      3.13568     0.271648
      3.17588     0.292170
      3.21608     0.314646
      3.25628     0.339231
      3.29648     0.366061
      3.33668     0.395239
      3.37688     0.426814
      3.41709     0.460755
      3.45729     0.496915
      3.49749     0.534999
      3.53769     0.574526
      3.57789     0.614813
      3.61809     0.654972
      3.65829     0.693956
      3.69849     0.730634
      3.73869     0.763920
      3.77889     0.792904
      3.81910     0.816975
      3.85930     0.835871
      3.89950     0.849647
      3.93970     0.858563
      3.97990     0.862922
      4.02010     0.862922
      4.06030     0.858563
      4.10050     0.849647
      4.14070     0.835871
      4.18090     0.816975
      4.22111     0.792904
      4.26131     0.763920
      4.30151     0.730634
      4.34171     0.693956
      4.38191     0.654973
      4.42211     0.614813
      4.46231     0.574526
      4.50251     0.534999
      4.54271     0.496915
      4.58291     0.460755
      4.62312     0.426814
      4.66332     0.395239
      4.70352     0.366061
      4.74372     0.339231
      4.78392     0.314646
      4.82412     0.292170
      4.86432     0.271648
      4.90452     0.252925
      4.94472     0.235843
      4.98492     0.220252
      5.02513     0.206011
      5.06533     0.192992
      5.10553     0.181075
      5.14573     0.170152
      5.18593     0.160127
      5.22613     0.150912
      5.26633     0.142429
      5.30653     0.134607
      5.34673     0.127384
      5.38693     0.120703
      5.42714     0.114514
      5.46734     0.108773
      5.50754     0.103440
      5.54774    0.0984768
      5.58794    0.0938526
      5.62814    0.0895381
      5.66834    0.0855070
      5.70854    0.0817358
      5.74874    0.0782033
      5.78894    0.0748902
      5.82915    0.0717791
      5.86935    0.0688544
      5.90955    0.0661017
      5.94975    0.0635082
      5.98995    0.0610620
      6.03015    0.0587523
      6.07035    0.0565694
      6.11055    0.0545042
      6.15075    0.0525487
      6.19095    0.0506953
      6.23116    0.0489370
      6.27136    0.0472677
      6.31156    0.0456814
      6.35176    0.0441728
      6.39196    0.0427370
      6.43216    0.0413694
      6.47236    0.0400658
      6.51256    0.0388223
      6.55276    0.0376354
      6.59296    0.0365016
      6.63317    0.0354179
      6.67337    0.0343814
      6.71357    0.0333894
      6.75377    0.0324394
      6.79397    0.0315291
      6.83417    0.0306563
      6.87437    0.0298191
      6.91457    0.0290155
      6.95477    0.0282437
      6.99498    0.0275022
      7.03518    0.0267893
      7.07538    0.0261036
      7.11558    0.0254438
      7.15578    0.0248085
      7.19598    0.0241967
      7.23618    0.0236070
      7.27638    0.0230386
      7.31658    0.0224904
      7.35678    0.0219614
      7.39699    0.0214508
      7.43719    0.0209577
      7.47739    0.0204813
      7.51759    0.0200210
      7.55779    0.0195759
      7.59799    0.0191454
      7.63819    0.0187290
      7.67839    0.0183259
      7.71859    0.0179357
      7.75879    0.0175577
      7.79900    0.0171916
      7.83920    0.0168367
      7.87940    0.0164927
      7.91960    0.0161590
      7.95980    0.0158354
      8.00000    0.0155214
