; *********************************
; * Filter measurement 29-07-2008 *
; *********************************
;
; This file contains measured filter profiles in the '.dat' ASCII format that is used by
; the Stark spectrum simulation code (as read by 'read_txt.pro': comment ';'-lines and
; empty lines are ignored, the other lines are assumed to be [space], [tab], ',' or ';' separated
; lists of floating point numbers).
;
; The first row contains the filter partnumbers (long integer). First element is the number of filters.
; The second row contains the measured CWL in [A]. First element is 0.
; The third row contains the measured FWHM in [A]. First element is 0.
; The fourth row contains the measured peak transmission. First element is 0.
; The following rows contain the filter transmission curve. First column contains the wavelengths in [A].
;
6575.80   0.0083   0.0039   0.0037   0.0060   0.0070   0.0077   0.0052   0.0055   0.0048   0.0074   0.0041   0.0043   0.0042   0.0061   0.0049   0.0069   0.0172   0.0063   0.0049   0.0025   0.0004   0.0026   0.0066   0.0124   0.0078   0.0060
6575.85   0.0088   0.0044   0.0036   0.0050   0.0073   0.0065   0.0060   0.0050   0.0050   0.0062   0.0062   0.0045   0.0047   0.0053   0.0051   0.0074   0.0160   0.0070   0.0063   0.0037   0.0012   0.0044   0.0054   0.0129   0.0078   0.0042
6575.90   0.0083   0.0030   0.0041   0.0033   0.0068   0.0062   0.0031   0.0049   0.0060   0.0074   0.0054   0.0045   0.0054   0.0054   0.0044   0.0065   0.0158   0.0053   0.0069   0.0026   0.0007   0.0038   0.0058   0.0106   0.0081   0.0054
6575.95   0.0087   0.0032   0.0036   0.0042   0.0059   0.0066   0.0030   0.0059   0.0052   0.0069   0.0053   0.0037   0.0050   0.0055   0.0046   0.0070   0.0176   0.0051   0.0062   0.0017   0.0011   0.0025   0.0057   0.0121   0.0083   0.0060
6576.00   0.0088   0.0041   0.0038   0.0052   0.0061   0.0068   0.0036   0.0056   0.0052   0.0073   0.0067   0.0041   0.0058   0.0051   0.0040   0.0068   0.0168   0.0058   0.0061   0.0016   0.0022   0.0029   0.0059   0.0123   0.0079   0.0059
6576.05   0.0087   0.0042   0.0044   0.0044   0.0066   0.0067   0.0036   0.0045   0.0058   0.0076   0.0074   0.0046   0.0056   0.0053   0.0038   0.0062   0.0149   0.0065   0.0064   0.0027   0.0026   0.0035   0.0056   0.0114   0.0077   0.0068
6576.10   0.0088   0.0038   0.0046   0.0033   0.0066   0.0064   0.0036   0.0045   0.0058   0.0072   0.0067   0.0046   0.0038   0.0060   0.0048   0.0068   0.0147   0.0067   0.0063   0.0039   0.0021   0.0033   0.0058   0.0116   0.0080   0.0074
6576.15   0.0092   0.0048   0.0041   0.0047   0.0067   0.0062   0.0045   0.0060   0.0048   0.0079   0.0063   0.0049   0.0038   0.0058   0.0055   0.0082   0.0159   0.0059   0.0062   0.0029   0.0023   0.0040   0.0083   0.0120   0.0078   0.0044
6576.20   0.0086   0.0037   0.0041   0.0039   0.0077   0.0067   0.0050   0.0060   0.0058   0.0098   0.0065   0.0038   0.0066   0.0048   0.0047   0.0069   0.0150   0.0064   0.0057   0.0034   0.0026   0.0032   0.0068   0.0105   0.0084   0.0056
6576.25   0.0081   0.0027   0.0036   0.0029   0.0057   0.0075   0.0045   0.0049   0.0068   0.0076   0.0052   0.0043   0.0053   0.0055   0.0049   0.0077   0.0142   0.0069   0.0052   0.0039   0.0015   0.0032   0.0059   0.0110   0.0073   0.0067
6576.30   0.0082   0.0029   0.0039   0.0053   0.0058   0.0049   0.0044   0.0060   0.0052   0.0084   0.0041   0.0046   0.0051   0.0071   0.0056   0.0080   0.0154   0.0067   0.0059   0.0018   0.0011   0.0025   0.0080   0.0126   0.0073   0.0057
6576.35   0.0073   0.0032   0.0041   0.0050   0.0067   0.0060   0.0056   0.0053   0.0045   0.0082   0.0041   0.0034   0.0053   0.0066   0.0051   0.0074   0.0156   0.0075   0.0069   0.0032   0.0019   0.0035   0.0073   0.0119   0.0076   0.0058
6576.40   0.0072   0.0036   0.0042   0.0048   0.0070   0.0071   0.0053   0.0043   0.0052   0.0071   0.0054   0.0043   0.0052   0.0057   0.0049   0.0070   0.0156   0.0075   0.0067   0.0043   0.0020   0.0043   0.0076   0.0117   0.0074   0.0065
