; Filtershape based upon a two Lorentzians with FWHM=1.0A
; shifted +0.4A and -0.4A respectively
;
;Wavelength [A]  Transmission
;--------------  ------------
      0.00000    0.0158624
    0.0402009    0.0161903
    0.0804019    0.0165284
     0.120603    0.0168773
     0.160804    0.0172374
     0.201005    0.0176092
     0.241206    0.0179932
     0.281407    0.0183899
     0.321608    0.0188000
     0.361809    0.0192239
     0.402010    0.0196624
     0.442211    0.0201161
     0.482412    0.0205857
     0.522613    0.0210721
     0.562814    0.0215759
     0.603015    0.0220981
     0.643216    0.0226396
     0.683417    0.0232012
     0.723618    0.0237841
     0.763819    0.0243893
     0.804020    0.0250179
     0.844221    0.0256713
     0.884422    0.0263507
     0.924623    0.0270574
     0.964824    0.0277931
      1.00503    0.0285593
      1.04523    0.0293578
      1.08543    0.0301902
      1.12563    0.0310587
      1.16583    0.0319654
      1.20603    0.0329124
      1.24623    0.0339022
      1.28643    0.0349375
      1.32663    0.0360210
      1.36683    0.0371558
      1.40704    0.0383452
      1.44724    0.0395928
      1.48744    0.0409023
      1.52764    0.0422780
      1.56784    0.0437243
      1.60804    0.0452461
      1.64824    0.0468488
      1.68844    0.0485382
      1.72864    0.0503205
      1.76884    0.0522028
      1.80905    0.0541924
      1.84925    0.0562978
      1.88945    0.0585278
      1.92965    0.0608925
      1.96985    0.0634028
      2.01005    0.0660706
      2.05025    0.0689092
      2.09045    0.0719332
      2.13065    0.0751589
      2.17085    0.0786040
      2.21106    0.0822884
      2.25126    0.0862342
      2.29146    0.0904659
      2.33166    0.0950107
      2.37186    0.0998991
      2.41206     0.105165
      2.45226     0.110846
      2.49246     0.116985
      2.53266     0.123629
      2.57286     0.130830
      2.61307     0.138649
      2.65327     0.147150
      2.69347     0.156407
      2.73367     0.166502
      2.77387     0.177524
      2.81407     0.189572
      2.85427     0.202754
      2.89447     0.217184
      2.93467     0.232984
      2.97487     0.250279
      3.01508     0.269191
      3.05528     0.289833
      3.09548     0.312297
      3.13568     0.336639
      3.17588     0.362857
      3.21608     0.390861
      3.25628     0.420447
      3.29648     0.451258
      3.33668     0.482754
      3.37688     0.514195
      3.41709     0.544647
      3.45729     0.573032
      3.49749     0.598218
      3.53769     0.619160
      3.57789     0.635058
      3.61809     0.645503
      3.65829     0.650569
      3.69849     0.650811
      3.73869     0.647185
      3.77889     0.640903
      3.81910     0.633265
      3.85930     0.625513
      3.89950     0.618720
      3.93970     0.613720
      3.97990     0.611078
      4.02010     0.611078
      4.06030     0.613720
      4.10050     0.618720
      4.14070     0.625513
      4.18090     0.633265
      4.22111     0.640903
      4.26131     0.647185
      4.30151     0.650811
      4.34171     0.650569
      4.38191     0.645503
      4.42211     0.635058
      4.46231     0.619160
      4.50251     0.598218
      4.54271     0.573032
      4.58291     0.544648
      4.62312     0.514195
      4.66332     0.482754
      4.70352     0.451258
      4.74372     0.420447
      4.78392     0.390861
      4.82412     0.362857
      4.86432     0.336639
      4.90452     0.312297
      4.94472     0.289833
      4.98492     0.269191
      5.02513     0.250279
      5.06533     0.232984
      5.10553     0.217184
      5.14573     0.202754
      5.18593     0.189572
      5.22613     0.177524
      5.26633     0.166502
      5.30653     0.156407
      5.34673     0.147150
      5.38693     0.138649
      5.42714     0.130830
      5.46734     0.123629
      5.50754     0.116985
      5.54774     0.110846
      5.58794     0.105165
      5.62814    0.0998990
      5.66834    0.0950107
      5.70854    0.0904659
      5.74874    0.0862343
      5.78894    0.0822884
      5.82915    0.0786040
      5.86935    0.0751589
      5.90955    0.0719332
      5.94975    0.0689092
      5.98995    0.0660706
      6.03015    0.0634028
      6.07035    0.0608925
      6.11055    0.0585278
      6.15075    0.0562978
      6.19095    0.0541924
      6.23116    0.0522028
      6.27136    0.0503205
      6.31156    0.0485382
      6.35176    0.0468488
      6.39196    0.0452461
      6.43216    0.0437243
      6.47236    0.0422780
      6.51256    0.0409023
      6.55276    0.0395928
      6.59296    0.0383452
      6.63317    0.0371558
      6.67337    0.0360210
      6.71357    0.0349375
      6.75377    0.0339022
      6.79397    0.0329124
      6.83417    0.0319654
      6.87437    0.0310587
      6.91457    0.0301902
      6.95477    0.0293578
      6.99498    0.0285593
      7.03518    0.0277931
      7.07538    0.0270574
      7.11558    0.0263507
      7.15578    0.0256713
      7.19598    0.0250179
      7.23618    0.0243893
      7.27638    0.0237841
      7.31658    0.0232012
      7.35678    0.0226396
      7.39699    0.0220981
      7.43719    0.0215759
      7.47739    0.0210721
      7.51759    0.0205857
      7.55779    0.0201161
      7.59799    0.0196624
      7.63819    0.0192239
      7.67839    0.0188000
      7.71859    0.0183899
      7.75879    0.0179932
      7.79900    0.0176092
      7.83920    0.0172374
      7.87940    0.0168773
      7.91960    0.0165284
      7.95980    0.0161903
      8.00000    0.0158624
