; Filtershape based upon a two Lorentzians with FWHM=1.2A
; shifted +0.1A and -0.1A respectively
;
;Wavelength [A]  Transmission
;--------------  ------------
      0.00000    0.0220688
    0.0402009    0.0225099
    0.0804019    0.0229642
     0.120603    0.0234323
     0.160804    0.0239147
     0.201005    0.0244121
     0.241206    0.0249250
     0.281407    0.0254541
     0.321608    0.0260001
     0.361809    0.0265637
     0.402010    0.0271457
     0.442211    0.0277469
     0.482412    0.0283680
     0.522613    0.0290101
     0.562814    0.0296740
     0.603015    0.0303607
     0.643216    0.0310713
     0.683417    0.0318068
     0.723618    0.0325686
     0.763819    0.0333577
     0.804020    0.0341755
     0.844221    0.0350234
     0.884422    0.0359029
     0.924623    0.0368156
     0.964824    0.0377630
      1.00503    0.0387470
      1.04523    0.0397695
      1.08543    0.0408325
      1.12563    0.0419380
      1.16583    0.0430884
      1.20603    0.0442861
      1.24623    0.0455337
      1.28643    0.0468339
      1.32663    0.0481897
      1.36683    0.0496042
      1.40704    0.0510809
      1.44724    0.0526233
      1.48744    0.0542354
      1.52764    0.0559212
      1.56784    0.0576853
      1.60804    0.0595325
      1.64824    0.0614680
      1.68844    0.0634974
      1.72864    0.0656266
      1.76884    0.0678622
      1.80905    0.0702112
      1.84925    0.0726811
      1.88945    0.0752802
      1.92965    0.0780174
      1.96985    0.0809023
      2.01005    0.0839453
      2.05025    0.0871580
      2.09045    0.0905525
      2.13065    0.0941424
      2.17085    0.0979424
      2.21106     0.101968
      2.25126     0.106238
      2.29146     0.110770
      2.33166     0.115586
      2.37186     0.120708
      2.41206     0.126162
      2.45226     0.131975
      2.49246     0.138177
      2.53266     0.144802
      2.57286     0.151886
      2.61307     0.159468
      2.65327     0.167593
      2.69347     0.176310
      2.73367     0.185670
      2.77387     0.195734
      2.81407     0.206564
      2.85427     0.218230
      2.89447     0.230808
      2.93467     0.244382
      2.97487     0.259041
      3.01508     0.274882
      3.05528     0.292008
      3.09548     0.310528
      3.13568     0.330555
      3.17588     0.352204
      3.21608     0.375592
      3.25628     0.400828
      3.29648     0.428009
      3.33668     0.457214
      3.37688     0.488491
      3.41709     0.521840
      3.45729     0.557203
      3.49749     0.594439
      3.53769     0.633303
      3.57789     0.673431
      3.61809     0.714315
      3.65829     0.755295
      3.69849     0.795563
      3.73869     0.834173
      3.77889     0.870080
      3.81910     0.902192
      3.85930     0.929437
      3.89950     0.950839
      3.93970     0.965591
      3.97990     0.973117
      4.02010     0.973117
      4.06030     0.965591
      4.10050     0.950839
      4.14070     0.929437
      4.18090     0.902192
      4.22111     0.870080
      4.26131     0.834173
      4.30151     0.795563
      4.34171     0.755295
      4.38191     0.714315
      4.42211     0.673431
      4.46231     0.633303
      4.50251     0.594439
      4.54271     0.557203
      4.58291     0.521840
      4.62312     0.488491
      4.66332     0.457214
      4.70352     0.428009
      4.74372     0.400828
      4.78392     0.375592
      4.82412     0.352204
      4.86432     0.330555
      4.90452     0.310528
      4.94472     0.292008
      4.98492     0.274882
      5.02513     0.259042
      5.06533     0.244382
      5.10553     0.230808
      5.14573     0.218230
      5.18593     0.206564
      5.22613     0.195734
      5.26633     0.185670
      5.30653     0.176310
      5.34673     0.167593
      5.38693     0.159468
      5.42714     0.151886
      5.46734     0.144802
      5.50754     0.138177
      5.54774     0.131975
      5.58794     0.126162
      5.62814     0.120708
      5.66834     0.115586
      5.70854     0.110770
      5.74874     0.106238
      5.78894     0.101968
      5.82915    0.0979423
      5.86935    0.0941424
      5.90955    0.0905525
      5.94975    0.0871580
      5.98995    0.0839453
      6.03015    0.0809023
      6.07035    0.0780174
      6.11055    0.0752802
      6.15075    0.0726811
      6.19095    0.0702112
      6.23116    0.0678622
      6.27136    0.0656266
      6.31156    0.0634974
      6.35176    0.0614680
      6.39196    0.0595325
      6.43216    0.0576853
      6.47236    0.0559212
      6.51256    0.0542354
      6.55276    0.0526233
      6.59296    0.0510809
      6.63317    0.0496042
      6.67337    0.0481897
      6.71357    0.0468339
      6.75377    0.0455337
      6.79397    0.0442861
      6.83417    0.0430884
      6.87437    0.0419380
      6.91457    0.0408325
      6.95477    0.0397695
      6.99498    0.0387470
      7.03518    0.0377630
      7.07538    0.0368156
      7.11558    0.0359029
      7.15578    0.0350234
      7.19598    0.0341755
      7.23618    0.0333577
      7.27638    0.0325686
      7.31658    0.0318068
      7.35678    0.0310713
      7.39699    0.0303607
      7.43719    0.0296740
      7.47739    0.0290101
      7.51759    0.0283680
      7.55779    0.0277469
      7.59799    0.0271457
      7.63819    0.0265637
      7.67839    0.0260001
      7.71859    0.0254541
      7.75879    0.0249250
      7.79900    0.0244121
      7.83920    0.0239147
      7.87940    0.0234323
      7.91960    0.0229642
      7.95980    0.0225099
      8.00000    0.0220688
