; Filtershape based upon a two Lorentzians with FWHM=1.2A
; shifted +0.3A and -0.3A respectively
;
;Wavelength [A]  Transmission
;--------------  ------------
      0.00000    0.0223856
    0.0402009    0.0228392
    0.0804019    0.0233068
     0.120603    0.0237888
     0.160804    0.0242858
     0.201005    0.0247986
     0.241206    0.0253277
     0.281407    0.0258738
     0.321608    0.0264378
     0.361809    0.0270203
     0.402010    0.0276222
     0.442211    0.0282443
     0.482412    0.0288877
     0.522613    0.0295531
     0.562814    0.0302417
     0.603015    0.0309545
     0.643216    0.0316927
     0.683417    0.0324575
     0.723618    0.0332502
     0.763819    0.0340721
     0.804020    0.0349246
     0.844221    0.0358094
     0.884422    0.0367280
     0.924623    0.0376822
     0.964824    0.0386739
      1.00503    0.0397049
      1.04523    0.0407774
      1.08543    0.0418936
      1.12563    0.0430559
      1.16583    0.0442669
      1.20603    0.0455292
      1.24623    0.0468458
      1.28643    0.0482199
      1.32663    0.0496546
      1.36683    0.0511538
      1.40704    0.0527211
      1.44724    0.0543608
      1.48744    0.0560772
      1.52764    0.0578752
      1.56784    0.0597600
      1.60804    0.0617371
      1.64824    0.0638125
      1.68844    0.0659928
      1.72864    0.0682849
      1.76884    0.0706966
      1.80905    0.0732359
      1.84925    0.0759120
      1.88945    0.0787344
      1.92965    0.0817139
      1.96985    0.0848619
      2.01005    0.0881909
      2.05025    0.0917146
      2.09045    0.0954480
      2.13065    0.0994074
      2.17085     0.103610
      2.21106     0.108077
      2.25126     0.112828
      2.29146     0.117887
      2.33166     0.123280
      2.37186     0.129034
      2.41206     0.135182
      2.45226     0.141756
      2.49246     0.148794
      2.53266     0.156336
      2.57286     0.164428
      2.61307     0.173118
      2.65327     0.182459
      2.69347     0.192510
      2.73367     0.203333
      2.77387     0.214996
      2.81407     0.227572
      2.85427     0.241138
      2.89447     0.255774
      2.93467     0.271566
      2.97487     0.288596
      3.01508     0.306948
      3.05528     0.326698
      3.09548     0.347912
      3.13568     0.370639
      3.17588     0.394902
      3.21608     0.420684
      3.25628     0.447922
      3.29648     0.476487
      3.33668     0.506176
      3.37688     0.536693
      3.41709     0.567648
      3.45729     0.598556
      3.49749     0.628848
      3.53769     0.657904
      3.57789     0.685092
      3.61809     0.709830
      3.65829     0.731640
      3.69849     0.750211
      3.73869     0.765428
      3.77889     0.777386
      3.81910     0.786359
      3.85930     0.792747
      3.89950     0.797006
      3.93970     0.799564
      3.97990     0.800754
      4.02010     0.800754
      4.06030     0.799564
      4.10050     0.797006
      4.14070     0.792747
      4.18090     0.786359
      4.22111     0.777386
      4.26131     0.765428
      4.30151     0.750211
      4.34171     0.731640
      4.38191     0.709830
      4.42211     0.685092
      4.46231     0.657904
      4.50251     0.628848
      4.54271     0.598556
      4.58291     0.567648
      4.62312     0.536693
      4.66332     0.506176
      4.70352     0.476487
      4.74372     0.447922
      4.78392     0.420684
      4.82412     0.394902
      4.86432     0.370639
      4.90452     0.347912
      4.94472     0.326698
      4.98492     0.306948
      5.02513     0.288596
      5.06533     0.271566
      5.10553     0.255774
      5.14573     0.241138
      5.18593     0.227572
      5.22613     0.214996
      5.26633     0.203333
      5.30653     0.192510
      5.34673     0.182459
      5.38693     0.173118
      5.42714     0.164428
      5.46734     0.156336
      5.50754     0.148794
      5.54774     0.141756
      5.58794     0.135182
      5.62814     0.129034
      5.66834     0.123280
      5.70854     0.117887
      5.74874     0.112828
      5.78894     0.108077
      5.82915     0.103610
      5.86935    0.0994074
      5.90955    0.0954480
      5.94975    0.0917147
      5.98995    0.0881909
      6.03015    0.0848619
      6.07035    0.0817139
      6.11055    0.0787344
      6.15075    0.0759120
      6.19095    0.0732359
      6.23116    0.0706966
      6.27136    0.0682850
      6.31156    0.0659928
      6.35176    0.0638125
      6.39196    0.0617371
      6.43216    0.0597600
      6.47236    0.0578752
      6.51256    0.0560772
      6.55276    0.0543608
      6.59296    0.0527211
      6.63317    0.0511538
      6.67337    0.0496546
      6.71357    0.0482199
      6.75377    0.0468458
      6.79397    0.0455292
      6.83417    0.0442669
      6.87437    0.0430559
      6.91457    0.0418936
      6.95477    0.0407774
      6.99498    0.0397049
      7.03518    0.0386739
      7.07538    0.0376822
      7.11558    0.0367281
      7.15578    0.0358094
      7.19598    0.0349246
      7.23618    0.0340721
      7.27638    0.0332502
      7.31658    0.0324575
      7.35678    0.0316927
      7.39699    0.0309545
      7.43719    0.0302417
      7.47739    0.0295531
      7.51759    0.0288877
      7.55779    0.0282443
      7.59799    0.0276222
      7.63819    0.0270203
      7.67839    0.0264378
      7.71859    0.0258738
      7.75879    0.0253277
      7.79900    0.0247986
      7.83920    0.0242858
      7.87940    0.0237888
      7.91960    0.0233068
      7.95980    0.0228392
      8.00000    0.0223856
