; Filtershape based upon a two Lorentzians with FWHM=1.0A
; shifted +0.1A and -0.1A respectively
;
;Wavelength [A]  Transmission
;--------------  ------------
      0.00000    0.0154374
    0.0402009    0.0157480
    0.0804019    0.0160681
     0.120603    0.0163980
     0.160804    0.0167381
     0.201005    0.0170888
     0.241206    0.0174507
     0.281407    0.0178240
     0.321608    0.0182094
     0.361809    0.0186074
     0.402010    0.0190185
     0.442211    0.0194433
     0.482412    0.0198824
     0.522613    0.0203365
     0.562814    0.0208061
     0.603015    0.0212922
     0.643216    0.0217953
     0.683417    0.0223164
     0.723618    0.0228562
     0.763819    0.0234157
     0.804020    0.0239959
     0.844221    0.0245977
     0.884422    0.0252223
     0.924623    0.0258708
     0.964824    0.0265444
      1.00503    0.0272445
      1.04523    0.0279723
      1.08543    0.0287295
      1.12563    0.0295175
      1.16583    0.0303381
      1.20603    0.0311931
      1.24623    0.0320843
      1.28643    0.0330139
      1.32663    0.0339840
      1.36683    0.0349970
      1.40704    0.0360555
      1.44724    0.0371622
      1.48744    0.0383200
      1.52764    0.0395320
      1.56784    0.0408017
      1.60804    0.0421328
      1.64824    0.0435291
      1.68844    0.0449950
      1.72864    0.0465350
      1.76884    0.0481542
      1.80905    0.0498581
      1.84925    0.0516524
      1.88945    0.0535436
      1.92965    0.0555387
      1.96985    0.0576452
      2.01005    0.0598714
      2.05025    0.0622264
      2.09045    0.0647200
      2.13065    0.0673631
      2.17085    0.0701676
      2.21106    0.0731464
      2.25126    0.0763139
      2.29146    0.0796859
      2.33166    0.0832798
      2.37186    0.0871148
      2.41206    0.0912122
      2.45226    0.0955955
      2.49246     0.100291
      2.53266     0.105327
      2.57286     0.110737
      2.61307     0.116556
      2.65327     0.122825
      2.69347     0.129588
      2.73367     0.136894
      2.77387     0.144801
      2.81407     0.153371
      2.85427     0.162673
      2.89447     0.172787
      2.93467     0.183799
      2.97487     0.195809
      3.01508     0.208926
      3.05528     0.223271
      3.09548     0.238979
      3.13568     0.256199
      3.17588     0.275094
      3.21608     0.295838
      3.25628     0.318618
      3.29648     0.343625
      3.33668     0.371053
      3.37688     0.401086
      3.41709     0.433879
      3.45729     0.469544
      3.49749     0.508114
      3.53769     0.549511
      3.57789     0.593498
      3.61809     0.639634
      3.65829     0.687228
      3.69849     0.735305
      3.73869     0.782607
      3.77889     0.827626
      3.81910     0.868691
      3.85930     0.904093
      3.89950     0.932239
      3.93970     0.951801
      3.97990     0.961827
      4.02010     0.961827
      4.06030     0.951801
      4.10050     0.932239
      4.14070     0.904092
      4.18090     0.868691
      4.22111     0.827626
      4.26131     0.782607
      4.30151     0.735305
      4.34171     0.687228
      4.38191     0.639635
      4.42211     0.593498
      4.46231     0.549511
      4.50251     0.508114
      4.54271     0.469544
      4.58291     0.433879
      4.62312     0.401086
      4.66332     0.371053
      4.70352     0.343625
      4.74372     0.318618
      4.78392     0.295838
      4.82412     0.275094
      4.86432     0.256199
      4.90452     0.238979
      4.94472     0.223271
      4.98492     0.208926
      5.02513     0.195809
      5.06533     0.183799
      5.10553     0.172787
      5.14573     0.162673
      5.18593     0.153371
      5.22613     0.144801
      5.26633     0.136894
      5.30653     0.129588
      5.34673     0.122825
      5.38693     0.116556
      5.42714     0.110737
      5.46734     0.105327
      5.50754     0.100291
      5.54774    0.0955955
      5.58794    0.0912122
      5.62814    0.0871148
      5.66834    0.0832798
      5.70854    0.0796859
      5.74874    0.0763139
      5.78894    0.0731464
      5.82915    0.0701675
      5.86935    0.0673631
      5.90955    0.0647200
      5.94975    0.0622264
      5.98995    0.0598714
      6.03015    0.0576452
      6.07035    0.0555387
      6.11055    0.0535436
      6.15075    0.0516524
      6.19095    0.0498581
      6.23116    0.0481542
      6.27136    0.0465350
      6.31156    0.0449950
      6.35176    0.0435291
      6.39196    0.0421328
      6.43216    0.0408017
      6.47236    0.0395320
      6.51256    0.0383200
      6.55276    0.0371622
      6.59296    0.0360555
      6.63317    0.0349970
      6.67337    0.0339840
      6.71357    0.0330139
      6.75377    0.0320843
      6.79397    0.0311931
      6.83417    0.0303381
      6.87437    0.0295175
      6.91457    0.0287295
      6.95477    0.0279723
      6.99498    0.0272445
      7.03518    0.0265444
      7.07538    0.0258708
      7.11558    0.0252223
      7.15578    0.0245977
      7.19598    0.0239959
      7.23618    0.0234157
      7.27638    0.0228562
      7.31658    0.0223164
      7.35678    0.0217953
      7.39699    0.0212922
      7.43719    0.0208061
      7.47739    0.0203365
      7.51759    0.0198824
      7.55779    0.0194433
      7.59799    0.0190185
      7.63819    0.0186074
      7.67839    0.0182094
      7.71859    0.0178240
      7.75879    0.0174507
      7.79900    0.0170888
      7.83920    0.0167381
      7.87940    0.0163980
      7.91960    0.0160681
      7.95980    0.0157480
      8.00000    0.0154374
