; Filtershape based upon a two Lorentzians with FWHM=1.2A
; shifted +0.2A and -0.2A respectively
;
;Wavelength [A]  Transmission
;--------------  ------------
      0.00000    0.0221870
    0.0402009    0.0226328
    0.0804019    0.0230920
     0.120603    0.0235653
     0.160804    0.0240532
     0.201005    0.0245562
     0.241206    0.0250752
     0.281407    0.0256106
     0.321608    0.0261633
     0.361809    0.0267340
     0.402010    0.0273234
     0.442211    0.0279323
     0.482412    0.0285617
     0.522613    0.0292125
     0.562814    0.0298855
     0.603015    0.0305819
     0.643216    0.0313028
     0.683417    0.0320492
     0.723618    0.0328224
     0.763819    0.0336237
     0.804020    0.0344544
     0.844221    0.0353160
     0.884422    0.0362100
     0.924623    0.0371381
     0.964824    0.0381019
      1.00503    0.0391034
      1.04523    0.0401444
      1.08543    0.0412271
      1.12563    0.0423536
      1.16583    0.0435265
      1.20603    0.0447481
      1.24623    0.0460212
      1.28643    0.0473487
      1.32663    0.0487337
      1.36683    0.0501796
      1.40704    0.0516897
      1.44724    0.0532681
      1.48744    0.0549187
      1.52764    0.0566459
      1.56784    0.0584546
      1.60804    0.0603497
      1.64824    0.0623368
      1.68844    0.0644218
      1.72864    0.0666111
      1.76884    0.0689115
      1.80905    0.0713306
      1.84925    0.0738764
      1.88945    0.0765576
      1.92965    0.0793839
      1.96985    0.0823655
      2.01005    0.0855137
      2.05025    0.0888405
      2.09045    0.0923594
      2.13065    0.0960849
      2.17085     0.100033
      2.21106     0.104220
      2.25126     0.108666
      2.29146     0.113392
      2.33166     0.118419
      2.37186     0.123773
      2.41206     0.129481
      2.45226     0.135572
      2.49246     0.142081
      2.53266     0.149042
      2.57286     0.156495
      2.61307     0.164483
      2.65327     0.173055
      2.69347     0.182261
      2.73367     0.192160
      2.77387     0.202814
      2.81407     0.214289
      2.85427     0.226660
      2.89447     0.240006
      2.93467     0.254412
      2.97487     0.269967
      3.01508     0.286766
      3.05528     0.304905
      3.09548     0.324484
      3.13568     0.345596
      3.17588     0.368331
      3.21608     0.392762
      3.25628     0.418945
      3.29648     0.446902
      3.33668     0.476611
      3.37688     0.507995
      3.41709     0.540903
      3.45729     0.575095
      3.49749     0.610234
      3.53769     0.645872
      3.57789     0.681461
      3.61809     0.716363
      3.65829     0.749885
      3.69849     0.781317
      3.73869     0.809986
      3.77889     0.835308
      3.81910     0.856828
      3.85930     0.874233
      3.89950     0.887345
      3.93970     0.896093
      3.97990     0.900464
      4.02010     0.900464
      4.06030     0.896093
      4.10050     0.887345
      4.14070     0.874233
      4.18090     0.856828
      4.22111     0.835308
      4.26131     0.809986
      4.30151     0.781317
      4.34171     0.749885
      4.38191     0.716364
      4.42211     0.681461
      4.46231     0.645871
      4.50251     0.610234
      4.54271     0.575095
      4.58291     0.540903
      4.62312     0.507995
      4.66332     0.476611
      4.70352     0.446902
      4.74372     0.418945
      4.78392     0.392762
      4.82412     0.368331
      4.86432     0.345596
      4.90452     0.324484
      4.94472     0.304905
      4.98492     0.286766
      5.02513     0.269967
      5.06533     0.254412
      5.10553     0.240006
      5.14573     0.226660
      5.18593     0.214289
      5.22613     0.202814
      5.26633     0.192160
      5.30653     0.182261
      5.34673     0.173055
      5.38693     0.164483
      5.42714     0.156495
      5.46734     0.149042
      5.50754     0.142081
      5.54774     0.135572
      5.58794     0.129481
      5.62814     0.123773
      5.66834     0.118419
      5.70854     0.113392
      5.74874     0.108666
      5.78894     0.104220
      5.82915     0.100033
      5.86935    0.0960849
      5.90955    0.0923594
      5.94975    0.0888406
      5.98995    0.0855137
      6.03015    0.0823655
      6.07035    0.0793839
      6.11055    0.0765576
      6.15075    0.0738763
      6.19095    0.0713306
      6.23116    0.0689115
      6.27136    0.0666111
      6.31156    0.0644218
      6.35176    0.0623368
      6.39196    0.0603497
      6.43216    0.0584546
      6.47236    0.0566459
      6.51256    0.0549187
      6.55276    0.0532681
      6.59296    0.0516897
      6.63317    0.0501796
      6.67337    0.0487337
      6.71357    0.0473487
      6.75377    0.0460212
      6.79397    0.0447481
      6.83417    0.0435265
      6.87437    0.0423536
      6.91457    0.0412271
      6.95477    0.0401444
      6.99498    0.0391033
      7.03518    0.0381019
      7.07538    0.0371381
      7.11558    0.0362100
      7.15578    0.0353160
      7.19598    0.0344544
      7.23618    0.0336237
      7.27638    0.0328224
      7.31658    0.0320492
      7.35678    0.0313028
      7.39699    0.0305819
      7.43719    0.0298855
      7.47739    0.0292125
      7.51759    0.0285617
      7.55779    0.0279323
      7.59799    0.0273234
      7.63819    0.0267340
      7.67839    0.0261633
      7.71859    0.0256106
      7.75879    0.0250752
      7.79900    0.0245562
      7.83920    0.0240531
      7.87940    0.0235653
      7.91960    0.0230920
      7.95980    0.0226328
      8.00000    0.0221870
