; Filtershape based upon a two Lorentzians with FWHM=1.2A
; shifted +0.4A and -0.4A respectively
;
;Wavelength [A]  Transmission
;--------------  ------------
      0.00000    0.0226667
    0.0402009    0.0231317
    0.0804019    0.0236111
     0.120603    0.0241055
     0.160804    0.0246157
     0.201005    0.0251422
     0.241206    0.0256858
     0.281407    0.0262472
     0.321608    0.0268272
     0.361809    0.0274267
     0.402010    0.0280465
     0.442211    0.0286875
     0.482412    0.0293507
     0.522613    0.0300372
     0.562814    0.0307480
     0.603015    0.0314843
     0.643216    0.0322474
     0.683417    0.0330385
     0.723618    0.0338590
     0.763819    0.0347105
     0.804020    0.0355944
     0.844221    0.0365125
     0.884422    0.0374665
     0.924623    0.0384583
     0.964824    0.0394899
      1.00503    0.0405635
      1.04523    0.0416813
      1.08543    0.0428458
      1.12563    0.0440597
      1.16583    0.0453257
      1.20603    0.0466468
      1.24623    0.0480263
      1.28643    0.0494676
      1.32663    0.0509744
      1.36683    0.0525507
      1.40704    0.0542009
      1.44724    0.0559295
      1.48744    0.0577415
      1.52764    0.0596424
      1.56784    0.0616379
      1.60804    0.0637343
      1.64824    0.0659384
      1.68844    0.0682576
      1.72864    0.0706999
      1.76884    0.0732739
      1.80905    0.0759892
      1.84925    0.0788558
      1.88945    0.0818852
      1.92965    0.0850893
      1.96985    0.0884815
      2.01005    0.0920764
      2.05025    0.0958896
      2.09045    0.0999387
      2.13065     0.104243
      2.17085     0.108822
      2.21106     0.113700
      2.25126     0.118901
      2.29146     0.124454
      2.33166     0.130387
      2.37186     0.136734
      2.41206     0.143532
      2.45226     0.150819
      2.49246     0.158640
      2.53266     0.167041
      2.57286     0.176075
      2.61307     0.185796
      2.65327     0.196267
      2.69347     0.207551
      2.73367     0.219717
      2.77387     0.232838
      2.81407     0.246990
      2.85427     0.262248
      2.89447     0.278688
      2.93467     0.296380
      2.97487     0.315386
      3.01508     0.335753
      3.05528     0.357504
      3.09548     0.380630
      3.13568     0.405081
      3.17588     0.430745
      3.21608     0.457443
      3.25628     0.484908
      3.29648     0.512783
      3.33668     0.540612
      3.37688     0.567849
      3.41709     0.593882
      3.45729     0.618069
      3.49749     0.639789
      3.53769     0.658508
      3.57789     0.673845
      3.61809     0.685617
      3.65829     0.693876
      3.69849     0.698903
      3.73869     0.701179
      3.77889     0.701327
      3.81910     0.700041
      3.85930     0.698018
      3.89950     0.695887
      3.93970     0.694163
      3.97990     0.693208
      4.02010     0.693208
      4.06030     0.694163
      4.10050     0.695887
      4.14070     0.698018
      4.18090     0.700041
      4.22111     0.701327
      4.26131     0.701179
      4.30151     0.698903
      4.34171     0.693876
      4.38191     0.685617
      4.42211     0.673845
      4.46231     0.658508
      4.50251     0.639789
      4.54271     0.618069
      4.58291     0.593883
      4.62312     0.567849
      4.66332     0.540612
      4.70352     0.512783
      4.74372     0.484908
      4.78392     0.457442
      4.82412     0.430745
      4.86432     0.405081
      4.90452     0.380631
      4.94472     0.357504
      4.98492     0.335753
      5.02513     0.315386
      5.06533     0.296380
      5.10553     0.278688
      5.14573     0.262248
      5.18593     0.246990
      5.22613     0.232838
      5.26633     0.219717
      5.30653     0.207550
      5.34673     0.196267
      5.38693     0.185796
      5.42714     0.176075
      5.46734     0.167041
      5.50754     0.158640
      5.54774     0.150819
      5.58794     0.143532
      5.62814     0.136734
      5.66834     0.130387
      5.70854     0.124454
      5.74874     0.118902
      5.78894     0.113700
      5.82915     0.108822
      5.86935     0.104243
      5.90955    0.0999387
      5.94975    0.0958896
      5.98995    0.0920764
      6.03015    0.0884815
      6.07035    0.0850893
      6.11055    0.0818852
      6.15075    0.0788558
      6.19095    0.0759892
      6.23116    0.0732739
      6.27136    0.0706999
      6.31156    0.0682576
      6.35176    0.0659384
      6.39196    0.0637343
      6.43216    0.0616379
      6.47236    0.0596424
      6.51256    0.0577415
      6.55276    0.0559295
      6.59296    0.0542009
      6.63317    0.0525507
      6.67337    0.0509744
      6.71357    0.0494676
      6.75377    0.0480263
      6.79397    0.0466468
      6.83417    0.0453257
      6.87437    0.0440597
      6.91457    0.0428458
      6.95477    0.0416813
      6.99498    0.0405635
      7.03518    0.0394899
      7.07538    0.0384583
      7.11558    0.0374665
      7.15578    0.0365125
      7.19598    0.0355944
      7.23618    0.0347105
      7.27638    0.0338590
      7.31658    0.0330385
      7.35678    0.0322474
      7.39699    0.0314843
      7.43719    0.0307480
      7.47739    0.0300372
      7.51759    0.0293507
      7.55779    0.0286875
      7.59799    0.0280465
      7.63819    0.0274267
      7.67839    0.0268272
      7.71859    0.0262472
      7.75879    0.0256858
      7.79900    0.0251422
      7.83920    0.0246157
      7.87940    0.0241055
      7.91960    0.0236111
      7.95980    0.0231317
      8.00000    0.0226667
