; This ASCII spreadsheet file contains the y- and z-coordinates
; of the GRID-holes in the beam coordinate system used by the STARK-code
; (this is the coordinate system with the x-axis on the beam axis and
;  the y-axis in the xy-plane of the machine coordinate system).
; The coordinates are given in [m].
;
;     y [m]        z[m]
  0.042000000     -0.066724138
  0.054000000     -0.066724138
 -0.054000000      -0.10189655
 -0.042000000      -0.10189655
 -0.030000000      -0.10189655
 -0.018000000      -0.10189655
-0.0060000000      -0.10189655
 0.0060000000      -0.10189655
  0.018000000      -0.10189655
  0.030000000      -0.10189655
  0.042000000      -0.10189655
  0.054000000      -0.10189655
 -0.054000000      -0.13706897
 -0.042000000      -0.13706897
 -0.030000000      -0.13706897
 -0.018000000      -0.13706897
-0.0060000000      -0.13706897
 0.0060000000      -0.13706897
  0.018000000      -0.13706897
  0.030000000      -0.13706897
  0.042000000      -0.13706897
  0.054000000      -0.13706897
 -0.054000000      -0.17224138
 -0.042000000      -0.17224138
 -0.030000000      -0.17224138
 -0.018000000      -0.17224138
-0.0060000000      -0.17224138
 0.0060000000      -0.17224138
  0.018000000      -0.17224138
  0.030000000      -0.17224138
  0.042000000      -0.17224138
  0.054000000      -0.17224138
 -0.054000000      -0.20741379
 -0.042000000      -0.20741379
 -0.030000000      -0.20741379
 -0.018000000      -0.20741379
-0.0060000000      -0.20741379
 0.0060000000      -0.20741379
  0.018000000      -0.20741379
  0.030000000      -0.20741379
  0.042000000      -0.20741379
  0.054000000      -0.20741379
